Title:,"Average Methane, Mole Fraction in Air (Daytime/Ascending, AIRS-only) monthly 1 deg. @1000hPa [AIRS AIRS3STM v006] ppbv for 2002-Sep - 2023-Dec"
User Start Date:,2002-01-01T00:00:00Z
User End Date:,2023-12-31T23:59:59Z
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=InTs&seasons=years&starttime=2002-01-01T00%3A00%3A00Z&endtime=2023-12-31T23%3A59%3A59Z&data=AIRS3STM_006_CH4_VMR_A%28z%3D1000%29&dataKeyword=methane&portal=GIOVANNI&format=json"
Fill Value:,-9999.0
Units:,ppbv
Variable Name:,AIRS3STM_006_CH4_VMR_A

TIME,unknown
2003,1804.555625510807
2004,1806.8064502897998
2005,1808.3354629605353
2006,1808.5021727017684
2007,1811.0819468816956
2008,1814.0938931552762
2009,1816.570411609938
2010,1818.759792500883
2011,1820.810627346728
2012,1822.7920977163988
2013,1823.879454848008
2014,1826.3726966404802
2015,1830.0317838680055
2016,1831.776182746464
2017,1833.7020699322213
2018,1836.526168956773
2019,1839.4180637763923
2020,1844.150084667592
2021,1847.617942658393
2022,1853.2265385732323
2023,1855.7360486111945
